FECHA;DIFICULTAD;T1;T2;T3;T4;T5;T6;T1_T4;T2_T4;T3_T4;T1_T5;T2_T5;T3_T5;T1_T6;T2_T6;T3_T6
2025-12-22 01:06;Easy;Arsenal;Liverpool;Atl Madrid;Man City;Chelsea;Inter;Arsenal_Man City;Liverpool_Man City;Atl Madrid_Man City;Arsenal_Chelsea;Liverpool_Chelsea;Atl Madrid_Chelsea;Arsenal_Inter;Liverpool_Inter;Atl Madrid_Inter
2025-12-22 01:06;Normal;Arsenal;Inter;France;Man City;Chelsea;Atl Madrid;Arsenal_Man City;Inter_Man City;France_Man City;Arsenal_Chelsea;Inter_Chelsea;France_Chelsea;Arsenal_Atl Madrid;Inter_Atl Madrid;France_Atl Madrid
2025-12-22 01:06;Hard;Man City;Brazil;Denmark;Arsenal;Chelsea;Atl Madrid;Man City_Arsenal;Brazil_Arsenal;Denmark_Arsenal;Man City_Chelsea;Brazil_Chelsea;Denmark_Chelsea;Man City_Atl Madrid;Brazil_Atl Madrid;Denmark_Atl Madrid
2025-12-22 01:06;Legend;Man Utd;Portugal;Ukraine;Arsenal;PSG;Marseille;Man Utd_Arsenal;Portugal_Arsenal;Ukraine_Arsenal;Man Utd_PSG;Portugal_PSG;Ukraine_PSG;Man Utd_Marseille;Portugal_Marseille;Ukraine_Marseille
2025-12-23 00:14;Easy;Man City;AC Milan;Atl Madrid;Man Utd;Juventus;Real Madrid;Man City_Man Utd;AC Milan_Man Utd;Atl Madrid_Man Utd;Man City_Juventus;AC Milan_Juventus;Atl Madrid_Juventus;Man City_Real Madrid;AC Milan_Real Madrid;Atl Madrid_Real Madrid
2025-12-23 00:14;Normal;Tottenham;Belgium;France;Man City;AC Milan;Atl Madrid;Tottenham_Man City;Belgium_Man City;France_Man City;Tottenham_AC Milan;Belgium_AC Milan;France_AC Milan;Tottenham_Atl Madrid;Belgium_Atl Madrid;France_Atl Madrid
2025-12-23 00:14;Hard;Barcelona;Uruguay;Norway;Arsenal;Real Madrid;Chelsea;Barcelona_Arsenal;Uruguay_Arsenal;Norway_Arsenal;Barcelona_Real Madrid;Uruguay_Real Madrid;Norway_Real Madrid;Barcelona_Chelsea;Uruguay_Chelsea;Norway_Chelsea
2025-12-23 00:14;Legend;AC Milan;Galatasaray;Turkiye;Barcelona;Fenerbahce;Atalanta;AC Milan_Barcelona;Galatasaray_Barcelona;Turkiye_Barcelona;AC Milan_Fenerbahce;Galatasaray_Fenerbahce;Turkiye_Fenerbahce;AC Milan_Atalanta;Galatasaray_Atalanta;Turkiye_Atalanta
2025-12-24 23:58;Easy;PSG;Chelsea;Man City;Juventus;Barcelona;Arsenal;PSG_Juventus;Chelsea_Juventus;Man City_Juventus;PSG_Barcelona;Chelsea_Barcelona;Man City_Barcelona;PSG_Arsenal;Chelsea_Arsenal;Man City_Arsenal
2025-12-24 23:58;Normal;Uruguay;Juventus;Man Utd;PSG;Barcelona;Arsenal;Uruguay_PSG;Juventus_PSG;Man Utd_PSG;Uruguay_Barcelona;Juventus_Barcelona;Man Utd_Barcelona;Uruguay_Arsenal;Juventus_Arsenal;Man Utd_Arsenal
2025-12-24 23:58;Hard;Japan;Belgium;Liverpool;AC Milan;Man Utd;Arsenal;Japan_AC Milan;Belgium_AC Milan;Liverpool_AC Milan;Japan_Man Utd;Belgium_Man Utd;Liverpool_Man Utd;Japan_Arsenal;Belgium_Arsenal;Liverpool_Arsenal
2025-12-24 23:58;Legend;Argentina;West Ham;Barcelona;Crystal Palace;Roma;Newcastle;Argentina_Crystal Palace;West Ham_Crystal Palace;Barcelona_Crystal Palace;Argentina_Roma;West Ham_Roma;Barcelona_Roma;Argentina_Newcastle;West Ham_Newcastle;Barcelona_Newcastle
2025-12-25 23:54;Easy;Man City;Atl Madrid;Liverpool;Man Utd;Inter;Chelsea;Man City_Man Utd;Atl Madrid_Man Utd;Liverpool_Man Utd;Man City_Inter;Atl Madrid_Inter;Liverpool_Inter;Man City_Chelsea;Atl Madrid_Chelsea;Liverpool_Chelsea
2025-12-25 23:54;Normal;Tottenham;Netherlands;Atl Madrid;Man City;Inter;Liverpool;Tottenham_Man City;Netherlands_Man City;Atl Madrid_Man City;Tottenham_Inter;Netherlands_Inter;Atl Madrid_Inter;Tottenham_Liverpool;Netherlands_Liverpool;Atl Madrid_Liverpool
2025-12-25 23:54;Hard;Barcelona;Poland;Germany;Man Utd;AC Milan;Liverpool;Barcelona_Man Utd;Poland_Man Utd;Germany_Man Utd;Barcelona_AC Milan;Poland_AC Milan;Germany_AC Milan;Barcelona_Liverpool;Poland_Liverpool;Germany_Liverpool
2025-12-25 23:54;Legend;AC Milan;Wales;France;Man Utd;West Ham;Tottenham;AC Milan_Man Utd;Wales_Man Utd;France_Man Utd;AC Milan_West Ham;Wales_West Ham;France_West Ham;AC Milan_Tottenham;Wales_Tottenham;France_Tottenham
2025-12-26 00:04;Easy;Tottenham;Inter;Barcelona;Man Utd;AC Milan;Chelsea;Tottenham_Man Utd;Inter_Man Utd;Barcelona_Man Utd;Tottenham_AC Milan;Inter_AC Milan;Barcelona_AC Milan;Tottenham_Chelsea;Inter_Chelsea;Barcelona_Chelsea
2025-12-26 00:04;Normal;Barcelona;Spain;PSG;Man Utd;Inter;Chelsea;Barcelona_Man Utd;Spain_Man Utd;PSG_Man Utd;Barcelona_Inter;Spain_Inter;PSG_Inter;Barcelona_Chelsea;Spain_Chelsea;PSG_Chelsea
2025-12-26 00:04;Hard;Juventus;Turkiye;Belgium;Liverpool;Inter;Real Madrid;Juventus_Liverpool;Turkiye_Liverpool;Belgium_Liverpool;Juventus_Inter;Turkiye_Inter;Belgium_Inter;Juventus_Real Madrid;Turkiye_Real Madrid;Belgium_Real Madrid
2025-12-26 00:04;Legend;Roma;Morocco;West Ham;Real Madrid;Marseille;Juventus;Roma_Real Madrid;Morocco_Real Madrid;West Ham_Real Madrid;Roma_Marseille;Morocco_Marseille;West Ham_Marseille;Roma_Juventus;Morocco_Juventus;West Ham_Juventus
2025-12-27 13:20;Easy;Man City;Liverpool;Tottenham;Man Utd;Barcelona;Real Madrid;Man City_Man Utd;Liverpool_Man Utd;Tottenham_Man Utd;Man City_Barcelona;Liverpool_Barcelona;Tottenham_Barcelona;Man City_Real Madrid;Liverpool_Real Madrid;Tottenham_Real Madrid
2025-12-27 13:20;Normal;Tottenham;Real Madrid;Atl Madrid;Liverpool;Inter;AC Milan;Tottenham_Liverpool;Real Madrid_Liverpool;Atl Madrid_Liverpool;Tottenham_Inter;Real Madrid_Inter;Atl Madrid_Inter;Tottenham_AC Milan;Real Madrid_AC Milan;Atl Madrid_AC Milan
2025-12-27 13:20;Hard;Barcelona;Juventus;PSG;Tottenham;Real Madrid;Atl Madrid;Barcelona_Tottenham;Juventus_Tottenham;PSG_Tottenham;Barcelona_Real Madrid;Juventus_Real Madrid;PSG_Real Madrid;Barcelona_Atl Madrid;Juventus_Atl Madrid;PSG_Atl Madrid
2025-12-27 13:20;Legend;Inter;Roma;Brazil;Liverpool;AC Milan;Juventus;Inter_Liverpool;Roma_Liverpool;Brazil_Liverpool;Inter_AC Milan;Roma_AC Milan;Brazil_AC Milan;Inter_Juventus;Roma_Juventus;Brazil_Juventus
2025-12-28 00:59;Easy;Barcelona;Inter;Man Utd;Chelsea;AC Milan;Man City;Barcelona_Chelsea;Inter_Chelsea;Man Utd_Chelsea;Barcelona_AC Milan;Inter_AC Milan;Man Utd_AC Milan;Barcelona_Man City;Inter_Man City;Man Utd_Man City
2025-12-28 00:59;Normal;PSG;Portugal;Chelsea;Barcelona;Atl Madrid;Man Utd;PSG_Barcelona;Portugal_Barcelona;Chelsea_Barcelona;PSG_Atl Madrid;Portugal_Atl Madrid;Chelsea_Atl Madrid;PSG_Man Utd;Portugal_Man Utd;Chelsea_Man Utd
